Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156Q_1,,,,,
1.26E+00,3.76E-04,3.76E+00,4.74E+00,,,1.938422039
1.31E+00,5.84E-04,5.84E+00,7.63E+00,,,2.415882861
1.35E+00,3.48E-04,3.48E+00,4.71E+00,,,1.8657197
1.40E+00,3.20E-04,3.20E+00,4.48E+00,,,1.790069831
1.44E+00,3.03E-04,3.03E+00,4.37E+00,,,1.741459158
1.49E+00,2.77E-04,2.77E+00,4.11E+00,,,1.66302736
1.53E+00,2.91E-04,2.91E+00,4.46E+00,,,1.705494063
1.58E+00,1.15E-04,1.15E+00,1.82E+00,,,1.074220648
1.62E+00,1.03E-04,1.03E+00,1.67E+00,,,1.014874376
1.67E+00,9.35E-05,9.35E-01,1.56E+00,,,0.96674764
1.71E+00,5.82E-05,5.82E-01,9.97E-01,,,0.762719477
1.76E+00,7.34E-05,7.34E-01,1.29E+00,,,0.856929985
1.80E+00,7.06E-05,7.06E-01,1.27E+00,,,0.84007083
1.85E+00,5.82E-05,5.82E-01,1.08E+00,,,0.762719477
1.89E+00,8.96E-05,8.96E-01,1.70E+00,,,0.946812547
1.94E+00,6.68E-05,6.68E-01,1.29E+00,,,0.817050794
1.99E+00,5.05E-05,5.05E-01,1.00E+00,,,0.710947959
2.03E+00,4.67E-05,4.67E-01,9.49E-01,,,0.683593446
2.08E+00,4.39E-05,4.39E-01,9.11E-01,,,0.662336772
2.12E+00,4.77E-05,4.77E-01,1.01E+00,,,0.690533851
2.17E+00,4.96E-05,4.96E-01,1.07E+00,,,0.704209486
2.21E+00,4.77E-05,4.77E-01,1.05E+00,,,0.690533851
2.26E+00,7.44E-05,7.44E-01,1.68E+00,,,0.862476666
2.30E+00,9.54E-05,9.54E-01,2.19E+00,,,0.976562338
2.35E+00,4.77E-05,4.77E-01,1.12E+00,,,0.690533851
2.39E+00,5.15E-05,5.15E-01,1.23E+00,,,0.717623857
2.44E+00,5.34E-05,5.34E-01,1.30E+00,,,0.73079272
2.48E+00,6.10E-05,6.10E-01,1.52E+00,,,0.78125028
2.53E+00,5.05E-05,5.05E-01,1.28E+00,,,0.710947959
2.57E+00,5.34E-05,5.34E-01,1.37E+00,,,0.73079272
2.62E+00,5.15E-05,5.15E-01,1.35E+00,,,0.717623857
2.66E+00,5.63E-05,5.63E-01,1.50E+00,,,0.750111992
2.71E+00,5.82E-05,5.82E-01,1.58E+00,,,0.762719477
2.75E+00,5.82E-05,5.82E-01,1.60E+00,,,0.762719477
2.80E+00,5.34E-05,5.34E-01,1.49E+00,,,0.73079272
2.84E+00,5.05E-05,5.05E-01,1.44E+00,,,0.710947959
2.89E+00,5.05E-05,5.05E-01,1.46E+00,,,0.710947959
2.93E+00,4.96E-05,4.96E-01,1.46E+00,,,0.704209486
2.98E+00,5.05E-05,5.05E-01,1.51E+00,,,0.710947959
3.03E+00,7.34E-05,7.34E-01,2.22E+00,,,0.856929985
3.07E+00,5.82E-05,5.82E-01,1.79E+00,,,0.762719477
3.12E+00,2.86E-05,2.86E-01,8.91E-01,,,0.534885034
3.16E+00,1.91E-05,1.91E-01,6.03E-01,,,0.436732183
3.21E+00,1.91E-05,1.91E-01,6.11E-01,,,0.436732183
3.25E+00,1.81E-05,1.81E-01,5.89E-01,,,0.425673584
3.30E+00,2.10E-05,2.10E-01,6.92E-01,,,0.458048032
3.34E+00,2.10E-05,2.10E-01,7.01E-01,,,0.458048032
3.39E+00,2.77E-05,2.77E-01,9.37E-01,,,0.525895427
3.43E+00,2.48E-05,2.48E-01,8.51E-01,,,0.497950801
3.48E+00,2.77E-05,2.77E-01,9.62E-01,,,0.525895427
3.52E+00,3.05E-05,3.05E-01,1.07E+00,,,0.552427371
3.57E+00,2.48E-05,2.48E-01,8.85E-01,,,0.497950801
3.61E+00,2.57E-05,2.57E-01,9.30E-01,,,0.507436696
3.66E+00,3.15E-05,3.15E-01,1.15E+00,,,0.56099287
3.70E+00,3.34E-05,3.34E-01,1.24E+00,,,0.577742157
3.75E+00,3.81E-05,3.81E-01,1.43E+00,,,0.617632577
3.79E+00,4.01E-05,4.01E-01,1.52E+00,,,0.632884666
3.84E+00,4.10E-05,4.10E-01,1.57E+00,,,0.64037489
3.88E+00,3.72E-05,3.72E-01,1.44E+00,,,0.609863099
3.93E+00,3.81E-05,3.81E-01,1.50E+00,,,0.617632577
3.98E+00,4.96E-05,4.96E-01,1.97E+00,,,0.704209486
4.02E+00,4.48E-05,4.48E-01,1.80E+00,,,0.669497573
4.07E+00,4.48E-05,4.48E-01,1.82E+00,,,0.669497573
4.11E+00,5.05E-05,5.05E-01,2.08E+00,,,0.710947959
4.16E+00,5.82E-05,5.82E-01,2.42E+00,,,0.762719477
4.20E+00,7.92E-05,7.92E-01,3.33E+00,,,0.889690958
4.25E+00,7.92E-05,7.92E-01,3.36E+00,,,0.889690958
4.29E+00,7.44E-05,7.44E-01,3.19E+00,,,0.862476666
4.34E+00,6.58E-05,6.58E-01,2.85E+00,,,0.811193565
4.38E+00,6.77E-05,6.77E-01,2.97E+00,,,0.822866332
4.43E+00,8.68E-05,8.68E-01,3.84E+00,,,0.931581451
4.47E+00,7.25E-05,7.25E-01,3.24E+00,,,0.851347168
4.52E+00,8.39E-05,8.39E-01,3.79E+00,,,0.916096611
4.56E+00,9.54E-05,9.54E-01,4.35E+00,,,0.976562338
4.61E+00,1.02E-04,1.02E+00,4.70E+00,,,1.010163353
4.65E+00,9.54E-05,9.54E-01,4.44E+00,,,0.976562338
4.70E+00,1.03E-04,1.03E+00,4.84E+00,,,1.014874376
4.74E+00,1.15E-04,1.15E+00,5.47E+00,,,1.074220648
4.79E+00,1.09E-04,1.09E+00,5.21E+00,,,1.042684037
4.83E+00,1.10E-04,1.10E+00,5.30E+00,,,1.047244002
4.88E+00,1.09E-04,1.09E+00,5.30E+00,,,1.042684037
4.92E+00,1.15E-04,1.15E+00,5.68E+00,,,1.074220648
4.97E+00,1.13E-04,1.13E+00,5.59E+00,,,1.060820437
5.02E+00,1.13E-04,1.13E+00,5.64E+00,,,1.060820437
5.06E+00,1.26E-04,1.26E+00,6.37E+00,,,1.121984848
5.11E+00,1.44E-04,1.44E+00,7.35E+00,,,1.200020833
5.15E+00,1.29E-04,1.29E+00,6.63E+00,,,1.134662946
5.20E+00,1.34E-04,1.34E+00,6.99E+00,,,1.15960338
5.24E+00,1.35E-04,1.35E+00,7.10E+00,,,1.163709586
5.29E+00,1.38E-04,1.38E+00,7.31E+00,,,1.175937924
5.33E+00,1.42E-04,1.42E+00,7.58E+00,,,1.192044462
5.38E+00,1.52E-04,1.52E+00,8.15E+00,,,1.23139758
5.42E+00,1.63E-04,1.63E+00,8.84E+00,,,1.277019969
5.47E+00,1.72E-04,1.72E+00,9.39E+00,,,1.310194642
5.51E+00,2.12E-04,2.12E+00,1.17E+01,,,1.455046391
5.56E+00,2.03E-04,2.03E+00,1.13E+01,,,1.425247347
5.60E+00,2.04E-04,2.04E+00,1.14E+01,,,1.428586714
5.65E+00,2.03E-04,2.03E+00,1.15E+01,,,1.425247347
5.69E+00,2.14E-04,2.14E+00,1.22E+01,,,1.461584756
5.74E+00,2.25E-04,2.25E+00,1.29E+01,,,1.500223317
5.78E+00,2.35E-04,2.35E+00,1.36E+01,,,1.531678818
5.83E+00,2.60E-04,2.60E+00,1.52E+01,,,1.613545785
5.87E+00,2.67E-04,2.67E+00,1.57E+01,,,1.6341022
5.92E+00,2.91E-04,2.91E+00,1.72E+01,,,1.705494063
5.97E+00,3.10E-04,3.10E+00,1.85E+01,,,1.76052265
6.01E+00,3.40E-04,3.40E+00,2.05E+01,,,1.84516124
6.06E+00,3.62E-04,3.62E+00,2.19E+01,,,1.903670139
6.10E+00,3.81E-04,3.81E+00,2.32E+01,,,1.950681932
6.15E+00,4.01E-04,4.01E+00,2.46E+01,,,2.00135704
6.19E+00,4.22E-04,4.22E+00,2.61E+01,,,2.053104966
6.24E+00,4.34E-04,4.34E+00,2.71E+01,,,2.083079451
6.28E+00,4.63E-04,4.63E+00,2.91E+01,,,2.1528725
6.33E+00,4.86E-04,4.86E+00,3.08E+01,,,2.205388855
6.37E+00,5.07E-04,5.07E+00,3.23E+01,,,2.252454217
6.42E+00,5.41E-04,5.41E+00,3.47E+01,,,2.325366638
6.46E+00,5.66E-04,5.66E+00,3.65E+01,,,2.378085364
6.51E+00,5.88E-04,5.88E+00,3.83E+01,,,2.425730818
6.55E+00,6.32E-04,6.32E+00,4.14E+01,,,2.514529777
6.60E+00,6.76E-04,6.76E+00,4.46E+01,,,2.60029806
6.64E+00,7.22E-04,7.22E+00,4.80E+01,,,2.686879231
6.69E+00,7.53E-04,7.53E+00,5.04E+01,,,2.744818755
6.73E+00,7.80E-04,7.80E+00,5.25E+01,,,2.793037773
6.78E+00,8.26E-04,8.26E+00,5.60E+01,,,2.873816278
6.82E+00,8.72E-04,8.72E+00,5.95E+01,,,2.952385476
6.87E+00,9.26E-04,9.26E+00,6.36E+01,,,3.043054387
6.91E+00,9.88E-04,9.88E+00,6.83E+01,,,3.143257864
6.96E+00,1.05E-03,1.05E+01,7.28E+01,,,3.23447059
7.01E+00,1.11E-03,1.11E+01,7.74E+01,,,3.324620279
7.05E+00,1.19E-03,1.19E+01,8.36E+01,,,3.444372221
7.10E+00,1.24E-03,1.24E+01,8.79E+01,,,3.519687486
7.14E+00,1.31E-03,1.31E+01,9.35E+01,,,3.618549433
7.19E+00,1.38E-03,1.38E+01,9.95E+01,,,3.721196044
7.23E+00,1.46E-03,1.46E+01,1.06E+02,,,3.823584705
7.28E+00,1.55E-03,1.55E+01,1.12E+02,,,3.931806201
7.32E+00,1.62E-03,1.62E+01,1.19E+02,,,4.030024814
7.37E+00,1.71E-03,1.71E+01,1.26E+02,,,4.132831959
7.41E+00,1.81E-03,1.81E+01,1.34E+02,,,4.256735839
7.46E+00,1.91E-03,1.91E+01,1.43E+02,,,4.372779436
7.50E+00,2.02E-03,2.02E+01,1.51E+02,,,4.490066815
7.55E+00,2.12E-03,2.12E+01,1.60E+02,,,4.605399006
7.59E+00,2.24E-03,2.24E+01,1.70E+02,,,4.735071277
7.64E+00,2.36E-03,2.36E+01,1.81E+02,,,4.862262848
7.68E+00,2.50E-03,2.50E+01,1.92E+02,,,5.000529972
7.73E+00,2.66E-03,2.66E+01,2.05E+02,,,5.15547282
7.77E+00,2.80E-03,2.80E+01,2.17E+02,,,5.288790032
7.82E+00,2.95E-03,2.95E+01,2.30E+02,,,5.428489661
7.86E+00,3.08E-03,3.08E+01,2.42E+02,,,5.551819522
7.91E+00,3.25E-03,3.25E+01,2.57E+02,,,5.700149121
7.96E+00,3.41E-03,3.41E+01,2.71E+02,,,5.839811641
8.00E+00,3.60E-03,3.60E+01,2.88E+02,,,6.001691428
