Tested at The Flinders University of South Australia,,,
,,,
Cell Name:,CP156R_5,,
Notes:,,,
Cell Area (cm2):,0.1,,
Temperature (C):,25,,
Ideality [LnJ vs. V]: ,16.765,,
Jsat [Ln J vs. V] (A/m2): ,5.71E+01,,
Jsat [Ln J vs. V] (mA/cm2): ,5.71E+00,,
Schottky? : ,No,,
SBH [Ln J vs. V] (eV): ,0,,
R-Squared [Ln J vs. V]: ,0.966,,
,,,
,,,
,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2)
4.72E+00,1.95E-03,1.95E+01,9.23E+01
4.78E+00,2.03E-03,2.03E+01,9.70E+01
4.83E+00,2.07E-03,2.07E+01,1.00E+02
4.89E+00,2.14E-03,2.14E+01,1.05E+02
4.94E+00,2.20E-03,2.20E+01,1.09E+02
5.00E+00,2.30E-03,2.30E+01,1.15E+02
5.06E+00,2.37E-03,2.37E+01,1.20E+02
5.11E+00,2.44E-03,2.44E+01,1.25E+02
5.17E+00,2.52E-03,2.52E+01,1.30E+02
5.22E+00,2.61E-03,2.61E+01,1.37E+02
5.28E+00,2.69E-03,2.69E+01,1.42E+02
5.33E+00,2.77E-03,2.77E+01,1.48E+02
5.39E+00,2.87E-03,2.87E+01,1.54E+02
5.44E+00,2.93E-03,2.93E+01,1.60E+02
5.50E+00,3.00E-03,3.00E+01,1.65E+02
5.56E+00,3.11E-03,3.11E+01,1.73E+02
5.61E+00,3.21E-03,3.21E+01,1.80E+02
5.67E+00,3.31E-03,3.31E+01,1.88E+02
5.72E+00,3.42E-03,3.42E+01,1.96E+02
5.78E+00,3.50E-03,3.50E+01,2.02E+02
5.83E+00,3.57E-03,3.57E+01,2.08E+02
5.89E+00,3.68E-03,3.68E+01,2.17E+02
5.94E+00,3.77E-03,3.77E+01,2.24E+02
6.00E+00,3.88E-03,3.88E+01,2.33E+02
6.06E+00,3.97E-03,3.97E+01,2.40E+02
6.11E+00,4.05E-03,4.05E+01,2.48E+02
6.17E+00,4.18E-03,4.18E+01,2.58E+02
6.22E+00,4.29E-03,4.29E+01,2.67E+02
6.28E+00,4.41E-03,4.41E+01,2.77E+02
6.33E+00,4.51E-03,4.51E+01,2.86E+02
6.39E+00,4.60E-03,4.60E+01,2.94E+02
6.44E+00,4.68E-03,4.68E+01,3.02E+02
6.50E+00,4.82E-03,4.82E+01,3.14E+02
6.56E+00,4.95E-03,4.95E+01,3.24E+02
6.61E+00,5.06E-03,5.06E+01,3.34E+02
