Tested at The Flinders University of South Australia,,,,,,
,,,,,,
Cell Name:,CP156U_3,,,,,
Notes:,,,,,,
Cell Area (cm2):,0.1,,,,,
Temperature (C):,25,,,,,
Ideality [LnJ vs. V]: ,106.46,,,,,
Jsat [Ln J vs. V] (A/m2): ,6.66E+01,,,,,
Jsat [Ln J vs. V] (mA/cm2): ,6.66E+00,,,,,
Schottky? : ,No,,,,,
SBH [Ln J vs. V] (eV): ,0,,,,,
R-Squared [Ln J vs. V]: ,0.999,,,,,
,,,,,,
,,,,,,
,,,,,,
Voltage (V), Current (A), Current Density (mA/cm2), Power Density (mW/cm2),,,
5.96E+00,5.31E-03,5.31E+01,3.17E+02,,,7.29028806
5.91E+00,5.20E-03,5.20E+01,3.07E+02,,,7.212031614
5.86E+00,5.08E-03,5.08E+01,2.98E+02,,,7.128905947
5.81E+00,4.98E-03,4.98E+01,2.90E+02,,,7.060354099
5.76E+00,4.91E-03,4.91E+01,2.83E+02,,,7.004748389
5.71E+00,4.78E-03,4.78E+01,2.73E+02,,,6.910173659
5.66E+00,4.68E-03,4.68E+01,2.65E+02,,,6.840124268
5.61E+00,4.58E-03,4.58E+01,2.57E+02,,,6.769342656
5.56E+00,4.48E-03,4.48E+01,2.49E+02,,,6.690702504
5.51E+00,4.39E-03,4.39E+01,2.41E+02,,,6.622650527
5.45E+00,4.28E-03,4.28E+01,2.33E+02,,,6.539327183
5.40E+00,4.18E-03,4.18E+01,2.26E+02,,,6.468941181
5.35E+00,4.10E-03,4.10E+01,2.20E+02,,,6.404490612
5.30E+00,3.97E-03,3.97E+01,2.11E+02,,,6.303935279
5.25E+00,3.87E-03,3.87E+01,2.03E+02,,,6.222475392
5.20E+00,3.80E-03,3.80E+01,1.98E+02,,,6.163959766
5.15E+00,3.73E-03,3.73E+01,1.92E+02,,,6.108788751
5.10E+00,3.65E-03,3.65E+01,1.86E+02,,,6.038915466
5.05E+00,3.55E-03,3.55E+01,1.79E+02,,,5.960234895
5.00E+00,3.47E-03,3.47E+01,1.73E+02,,,5.890220709
4.95E+00,3.40E-03,3.40E+01,1.69E+02,,,5.834912167
4.90E+00,3.30E-03,3.30E+01,1.62E+02,,,5.745145777
4.85E+00,3.21E-03,3.21E+01,1.56E+02,,,5.664900705
4.80E+00,3.13E-03,3.13E+01,1.50E+02,,,5.593746508
4.75E+00,3.09E-03,3.09E+01,1.46E+02,,,5.554403658
4.70E+00,3.00E-03,3.00E+01,1.41E+02,,,5.475719131
4.65E+00,2.93E-03,2.93E+01,1.36E+02,,,5.409131169
4.60E+00,2.85E-03,2.85E+01,1.31E+02,,,5.337246481
4.55E+00,2.78E-03,2.78E+01,1.26E+02,,,5.27524407
4.50E+00,2.71E-03,2.71E+01,1.22E+02,,,5.208838642
4.44E+00,2.64E-03,2.64E+01,1.17E+02,,,5.136010125
4.39E+00,2.59E-03,2.59E+01,1.14E+02,,,5.085636637
4.34E+00,2.52E-03,2.52E+01,1.09E+02,,,5.018615347
4.29E+00,2.44E-03,2.44E+01,1.05E+02,,,4.943955906
4.24E+00,2.39E-03,2.39E+01,1.01E+02,,,4.890613458
4.19E+00,2.33E-03,2.33E+01,9.76E+01,,,4.825836715
4.14E+00,2.25E-03,2.25E+01,9.33E+01,,,4.74613527
4.09E+00,2.21E-03,2.21E+01,9.05E+01,,,4.70374319
4.04E+00,2.13E-03,2.13E+01,8.62E+01,,,4.617813335
3.99E+00,2.07E-03,2.07E+01,8.26E+01,,,4.549142776
3.94E+00,2.03E-03,2.03E+01,7.98E+01,,,4.500666617
3.89E+00,1.97E-03,1.97E+01,7.66E+01,,,4.438794881
3.84E+00,1.93E-03,1.93E+01,7.40E+01,,,4.391275441
3.79E+00,1.88E-03,1.88E+01,7.12E+01,,,4.334443448
3.74E+00,1.81E-03,1.81E+01,6.77E+01,,,4.255619814
3.69E+00,1.75E-03,1.75E+01,6.46E+01,,,4.186705148
3.64E+00,1.71E-03,1.71E+01,6.20E+01,,,4.130520548
3.59E+00,1.66E-03,1.66E+01,5.95E+01,,,4.072394873
3.54E+00,1.60E-03,1.60E+01,5.64E+01,,,3.995560036
3.49E+00,1.55E-03,1.55E+01,5.42E+01,,,3.942702119
3.43E+00,1.53E-03,1.53E+01,5.26E+01,,,3.913566149
3.38E+00,1.47E-03,1.47E+01,4.97E+01,,,3.833549269
3.33E+00,1.42E-03,1.42E+01,4.72E+01,,,3.761980861
3.28E+00,1.36E-03,1.36E+01,4.47E+01,,,3.690325189
3.23E+00,1.32E-03,1.32E+01,4.26E+01,,,3.630399427
3.18E+00,1.27E-03,1.27E+01,4.03E+01,,,3.557428847
3.13E+00,1.21E-03,1.21E+01,3.80E+01,,,3.484293329
3.08E+00,1.17E-03,1.17E+01,3.62E+01,,,3.427725193
3.03E+00,1.14E-03,1.14E+01,3.45E+01,,,3.371616823
2.98E+00,1.09E-03,1.09E+01,3.26E+01,,,3.307355439
2.93E+00,1.06E-03,1.06E+01,3.10E+01,,,3.252107009
2.88E+00,1.03E-03,1.03E+01,2.95E+01,,,3.203357614
2.83E+00,9.90E-04,9.90E+00,2.80E+01,,,3.146289879
2.78E+00,9.60E-04,9.60E+00,2.67E+01,,,3.098951436
2.73E+00,9.22E-04,9.22E+00,2.52E+01,,,3.036779544
2.68E+00,9.02E-04,9.02E+00,2.42E+01,,,3.003624477
2.63E+00,8.71E-04,8.71E+00,2.29E+01,,,2.950771086
2.58E+00,8.36E-04,8.36E+00,2.15E+01,,,2.892009682
2.53E+00,8.06E-04,8.06E+00,2.04E+01,,,2.838758531
2.47E+00,7.79E-04,7.79E+00,1.93E+01,,,2.791329432
2.42E+00,7.47E-04,7.47E+00,1.81E+01,,,2.732630601
2.37E+00,7.17E-04,7.17E+00,1.70E+01,,,2.677989918
2.32E+00,6.93E-04,6.93E+00,1.61E+01,,,2.633098935
2.27E+00,6.63E-04,6.63E+00,1.51E+01,,,2.574498009
2.22E+00,6.37E-04,6.37E+00,1.42E+01,,,2.523992868
2.17E+00,6.17E-04,6.17E+00,1.34E+01,,,2.484002818
2.12E+00,5.93E-04,5.93E+00,1.26E+01,,,2.435538955
2.07E+00,5.66E-04,5.66E+00,1.17E+01,,,2.378085364
2.02E+00,5.52E-04,5.52E+00,1.12E+01,,,2.349844676
1.97E+00,5.24E-04,5.24E+00,1.03E+01,,,2.288158648
1.92E+00,5.01E-04,5.01E+00,9.61E+00,,,2.237585753
1.87E+00,4.86E-04,4.86E+00,9.09E+00,,,2.205388855
1.82E+00,4.68E-04,4.68E+00,8.51E+00,,,2.163917743
1.77E+00,4.55E-04,4.55E+00,8.04E+00,,,2.132845517
1.72E+00,4.39E-04,4.39E+00,7.53E+00,,,2.094492779
1.67E+00,4.18E-04,4.18E+00,6.96E+00,,,2.043793042
1.62E+00,4.13E-04,4.13E+00,6.67E+00,,,2.032094978
1.57E+00,3.95E-04,3.95E+00,6.18E+00,,,1.987010317
1.52E+00,3.86E-04,3.86E+00,5.85E+00,,,1.965293871
1.46E+00,3.70E-04,3.70E+00,5.42E+00,,,1.923605989
