	Common Settings,	
	.Source/Sweep Points,	100
	.Repeat,	0
	.Source to Measure Delay,	0.001
	.Measure Window,	20 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2450
	...Model,	2450
	...Serial Number,	04566616
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	1
	...Stop,	-1
	...Step,	-0.0202020202020202
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	True
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	4-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Power (W)"
"1","0","1.00000905990601","0.00237206974998116","0.00237209124071014"
"2","0.0838404","0.979788720607758","0.00187648797873408","0.0018385617559197"
"3","0.16766496","0.959607601165771","0.00160203757695854","0.00153732743620261"
"4","0.25148616","0.939397215843201","0.00134215969592333","0.00126082108156733"
"5","0.33535914","0.919179737567902","0.00108966429252177","0.00100159733843728"
"6","0.57352282","0.898964107036591","0.000846018025185913","0.000760539838548114"
"7","0.6573522","0.87875908613205","0.000602655345574021","0.000529588860729222"
"8","0.7411958","0.858583927154541","0.000369056506315246","0.000316865984534079"
"9","0.8250208","0.838381588459015","0.000137529030325823","0.000115301806903791"
"10","1.0671873","0.818235695362091","-8.39802669361234E-05","-6.87156521131729E-05"
"11","1.4587546","0.79799610376358","-0.000296690443065017","-0.000236757817589774"
"12","1.54261238","0.777828335762024","-0.000486856035422534","-0.000378690419788406"
"13","1.62641656","0.75761479139328","-0.000667914107907563","-0.000506021607531017"
"14","1.71023734","0.737368583679199","-0.000821203459054232","-0.000605529631515278"
"15","1.79403938","0.717192590236664","-0.000954307848587632","-0.000684422517811742"
"16","2.11237422","0.69694572687149","-0.00107971555553377","-0.000752503142665936"
"17","2.19625744","0.676761627197266","-0.00118460168596357","-0.000801692964573331"
"18","2.2801025","0.656544208526611","-0.00125440955162048","-0.000823575326236892"
"19","2.36391828","0.636362195014954","-0.00133130594622344","-0.000847192774175207"
"20","2.44772214","0.616148889064789","-0.00137809535954148","-0.000849111924806821"
"21","2.53155828","0.595966041088104","-0.00141887099016458","-0.000845598926823142"
"22","2.61540294","0.575748264789581","-0.00146246084477752","-0.000842009293703365"
"23","2.69923874","0.555564939975739","-0.00147662009112537","-0.000820358352293035"
"24","2.7830585","0.535348176956177","-0.0015003738226369","-0.000803222390701436"
"25","2.86687","0.515163123607635","-0.00154206063598394","-0.000794412774025866"
"26","2.95073436","0.494947105646133","-0.0015446285251528","-0.000764509417822835"
"27","3.0345616","0.474768966436386","-0.00156756094656885","-0.000744229290428534"
