	Common Settings,	
	.Source/Sweep Points,	100
	.Repeat,	0
	.Source to Measure Delay,	0.001
	.Measure Window,	20 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2450
	...Model,	2450
	...Serial Number,	04566616
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	1
	...Stop,	-1
	...Step,	-0.0202020202020202
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	True
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	4-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Power (W)"
"1","0","0.999980390071869","0.000746329256799072","0.000746314621335984"
"2","0.08387224","0.97977089881897","0.000617964193224907","0.000605463333033907"
"3","0.16772428","0.959593594074249","0.000499791989568621","0.000479597191559673"
"4","0.25157146","0.93938535451889","0.000393324298784137","0.00036948308585423"
"5","0.33541828","0.919171333312988","0.000296322541544214","0.000272371185601888"
"6","0.41922962","0.898988962173462","0.00020928680896759","0.00018814653119037"
"7","0.50307728","0.878777861595154","0.000130899861687794","0.000115031900537101"
"8","0.74525282","0.858577966690063","6.15724420640618E-05","5.28647421115039E-05"
"9","0.99542332","0.838556051254272","-1.04371713405271E-06","-8.75215318557669E-07"
"10","1.40578452","0.818224728107452","-5.74465084355325E-05","-4.7004153745386E-05"
"11","1.7974115","0.797987580299377","-0.000106302504718769","-8.48280785202939E-05"
"12","1.88130108","0.777813673019409","-0.000152749227709137","-0.000118810437855322"
"13","1.96517428","0.757595479488373","-0.00019522788352333","-0.000147903762027357"
"14","2.04900156","0.737346470355988","-0.000233456390560605","-0.000172138245561911"
"15","2.13283292","0.717166602611542","-0.000268549134489149","-0.000192594470415853"
"16","2.2166952","0.696951270103455","-0.000305893365293741","-0.000213192769457693"
"17","2.30051774","0.676769375801086","-0.000336893426720053","-0.000227999154112819"
"18","2.3843456","0.656554818153381","-0.000369530462194234","-0.00024261700540807"
"19","2.46815438","0.636371552944183","-0.000399503071093932","-0.000254232389758016"
"20","2.55197228","0.616158008575439","-0.000422855257056653","-0.000260545653103683"
"21","2.63583448","0.595975995063782","-0.000453713902970776","-0.00027040259479728"
"22","2.71972216","0.575758337974548","-0.000475564098451287","-0.000273809994924677"
"23","2.8035388","0.555577218532562","-0.000490100006572902","-0.000272288398454563"
"24","2.88737978","0.535360455513","-0.000516607251483947","-0.000276571093475765"
"25","2.97123216","0.515175044536591","-0.000536966428626329","-0.000276631703782223"
"26","3.05506946","0.494960010051727","-0.000549618678633124","-0.000272039266700868"
"27","3.13895456","0.474783003330231","-0.00056862982455641","-0.000269975775886035"
"28","3.22281526","0.454561680555344","-0.000579401152208447","-0.000263373561463574"
"29","3.30672274","0.434375703334808","-0.000591642339713871","-0.000256995057435865"
"30","3.3905671","0.414162397384644","-0.000608301721513271","-0.000251935699315142"
"31","3.4744053","0.393977642059326","-0.00062242936110124","-0.000245223252035159"
"32","3.55820368","0.373760968446732","-0.000632538693025708","-0.000236418274485319"
"33","3.64199532","0.353577494621277","-0.000640029087662697","-0.000226299881300518"
"34","3.7258343","0.333358079195023","-0.000650303263682872","-0.000216783846875577"
"35","3.80968412","0.313175797462463","-0.000664925843011588","-0.000208238681138555"
"36","3.89349138","0.292958647012711","-0.000666859210468829","-0.000195362172046912"
