	Common Settings,	
	.Source/Sweep Points,	100
	.Repeat,	0
	.Source to Measure Delay,	0.001
	.Measure Window,	20 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2450
	...Model,	2450
	...Serial Number,	04566616
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	1
	...Stop,	-1
	...Step,	-0.0202020202020202
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	True
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	4-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Power (W)"
"1","0","0.999989688396454","0.00555398967117071","0.00555393240063112"
"2","0.0838868199999999","0.979777574539185","0.00476382346823812","0.00466748740324319"
"3","0.1677287","0.959599435329437","0.00400224700570107","0.00384055396671967"
"4","0.2515805","0.939390242099762","0.00327109219506383","0.00307283208905165"
"5","0.3354341","0.919174253940582","0.00256905611604452","0.00236141023879671"
"6","0.4192849","0.898992478847504","0.00190470146480948","0.00171231229131354"
"7","0.50312338","0.878780007362366","0.00129326130263507","0.00113649217705111"
"8","0.74130508","0.858571827411652","0.000725310877896845","0.000622731485877444"
"9","0.82516822","0.838378965854645","0.000221754977246746","0.000185914708497248"
"10","0.90901474","0.818211197853088","-0.000208689627470449","-0.000170752190072111"
"11","0.9928923","0.798009693622589","-0.000584801426157355","-0.000466677206917884"
"12","1.0767348","0.777843117713928","-0.000893384451046586","-0.000694912946719223"
"13","1.39508614","0.757595360279083","-0.00111971807200462","-0.000848293216171338"
"14","1.47895392","0.737346112728119","-0.00131129042711109","-0.000966874899087956"
"15","1.56280674","0.717165350914001","-0.00144692254252732","-0.00103768271295698"
"16","1.64665936","0.696949422359467","-0.00154983811080456","-0.00108015877607592"
"17","1.73054006","0.676766276359558","-0.0016186818247661","-0.00109546927115785"
"18","1.8144209","0.656548917293549","-0.0016709779156372","-0.00109707874133303"
"19","1.89828038","0.636366128921509","-0.00170578819233924","-0.00108550582871894"
"20","1.98212644","0.61615264415741","-0.00172890408430248","-0.00106526882303752"
"21","2.0659688","0.595969021320343","-0.00177121930755675","-0.00105559183726829"
"22","2.14983124","0.575751900672913","-0.00179507036227733","-0.00103351517292279"
"23","2.23366806","0.55556845664978","-0.00182066229172051","-0.00101150253949162"
"24","2.31751374","0.535350561141968","-0.00183766358532012","-0.000983794231591284"
"25","2.4013466","0.515165328979492","-0.00185348151717335","-0.000954849415552017"
"26","2.48522262","0.49495005607605","-0.00185790413524956","-0.000919569755925692"
"27","2.56908516","0.474770605564117","-0.00188550492748618","-0.000895182316216742"
"28","2.65296392","0.454550623893738","-0.0018758256919682","-0.000852657738600049"
"29","2.73683796","0.434363812208176","-0.00188285892363638","-0.000817845779920879"
"30","2.82068418","0.41414949297905","-0.00189698569010943","-0.000785635661747334"
"31","2.9045376","0.393965363502502","-0.00188803300261497","-0.00074381960817993"
"32","2.9884104","0.373748004436493","-0.00189909990876913","-0.000709784801127988"
"33","3.0722597","0.353565514087677","-0.00190564466174692","-0.000673770234498987"
"34","3.15609094","0.333344578742981","-0.00191772682592273","-0.000639263840931326"
"35","3.23993592","0.313162297010422","-0.00189785205293447","-0.000594335708282902"
"36","3.3238068","0.292944103479385","-0.00192727625835687","-0.000564584215661457"
"37","3.4076732","0.272763073444366","-0.00194348150398582","-0.000530109988209453"
"38","3.49151204","0.25255075097084","-0.00193168967962265","-0.000487849679231322"
