	Common Settings,	
	.Source/Sweep Points,	100
	.Repeat,	0
	.Source to Measure Delay,	0.001
	.Measure Window,	20 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2450
	...Model,	2450
	...Serial Number,	04566616
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	1
	...Stop,	-1
	...Step,	-0.0202020202020202
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	True
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	4-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)","SMU-1 Power (W)"
"1","0","0.999981939792633","0.00754088582471013","0.00754074963474841"
"2","0.08383446","0.979770839214325","0.00660870457068086","0.00647501602333553"
"3","0.16763964","0.959593772888184","0.00569971185177565","0.00546940800022089"
"4","0.25147844","0.939384818077087","0.00481943041086197","0.00452729975974275"
"5","0.33531274","0.919169008731842","0.00397675763815641","0.00365531237623101"
"6","0.41913036","0.898986876010895","0.00317428330890834","0.00285363903544904"
"7","0.50292868","0.878777086734772","0.00241537787951529","0.00212257873632406"
"8","0.58675158","0.858594357967377","0.00170902581885457","0.00146735992568911"
"9","0.67057412","0.838384926319122","0.0010716033866629","0.000898416126370698"
"10","0.90872444","0.818182826042175","0.00048992846859619","0.000400851058994546"
"11","1.15489164","0.798034906387329","-8.7930611698539E-06","-7.01716974754242E-06"
"12","1.54648894","0.777825653553009","-0.000451549451099709","-0.000351226746913133"
"13","1.630304","0.757619321346283","-0.000788691104389727","-0.000597527619259595"
"14","1.94858428","0.737344801425934","-0.00107358035165817","-0.000791598891208174"
"15","2.03243198","0.717164039611816","-0.00127330073155463","-0.000913165496282398"
"16","2.11628136","0.696948647499084","-0.00144068244844675","-0.00100408168392063"
"17","2.2001226","0.676765501499176","-0.0015756186330691","-0.00106632433438045"
"18","2.28395736","0.656549692153931","-0.0016606206772849","-0.00109027999445585"
"19","2.36777714","0.636366784572601","-0.001724096480757","-0.00109715773375227"
"20","2.45163216","0.616152167320251","-0.00177677278406918","-0.00109476240173986"
"21","2.53550374","0.595969319343567","-0.00182735978160053","-0.00108905036523628"
"22","2.61932928","0.575751423835754","-0.00185296463314444","-0.00106684702585021"
"23","2.70316384","0.555569648742676","-0.00186771876178682","-0.00103764785643601"
"24","2.7869816","0.535351693630219","-0.00188664032611996","-0.00101001609385939"
"25","2.87080832","0.515166580677032","-0.00191105750855058","-0.000984512962157173"
"26","2.95465096","0.494951009750366","-0.00192779896315187","-0.000954166043407728"
"27","3.03848","0.474772572517395","-0.00192975869867951","-0.00091619650170989"
"28","3.12231294","0.454550117254257","-0.00194358569569886","-0.000883457105873613"
"29","3.2061245","0.43436524271965","-0.00193313439376652","-0.000839686390158099"
"30","3.28996378","0.414150595664978","-0.00194131140597165","-0.000803995275154373"
"31","3.37378682","0.393965929746628","-0.00195803167298436","-0.000771397768520629"
"32","3.45760256","0.373749315738678","-0.00195949850603938","-0.00073236122582318"
"33","3.54142714","0.353565067052841","-0.00196455838158727","-0.000694599215915123"
"34","3.6252659","0.333346873521805","-0.00198850501328707","-0.000662861929161679"
"35","3.70909422","0.313163280487061","-0.00196781428530812","-0.000616247176976392"
"36","3.79294074","0.292944520711899","-0.00196354556828737","-0.000575209915397917"
"37","3.87675902","0.272764027118683","-0.0019721444696188","-0.000537930067593062"
"38","3.96057002","0.252552777528763","-0.00198453408665955","-0.000501199595686376"
"39","4.04438772","0.232302337884903","-0.00199792115017772","-0.000464121754095978"
"40","4.1282155","0.212120831012726","-0.002006083028391","-0.000425531999062825"
"41","4.2153201","0.191932544112206","-0.00200385530479252","-0.000384605046681568"
"42","4.29914672","0.171729952096939","-0.00200195936486125","-0.000343796385827641"
"43","4.38296614","0.151526868343353","-0.00200069602578878","-0.000303159203294767"
"44","4.46682694","0.131325051188469","-0.00201048469170928","-0.000264027005052354"
"45","4.55065748","0.111122354865074","-0.00202450738288462","-0.000224968027827867"
"46","4.63451984","0.090920478105545","-0.0020453913602978","-0.000185967960391227"
"47","4.7183679","0.0707170441746712","-0.00201958045363426","-0.000142818760153957"
"48","4.80217782","0.0505209602415562","-0.00201832177117467","-0.000101967553956183"
"49","4.88603288","0.0303174145519733","-0.00203298940323293","-6.16349825175817E-05"
"50","4.9731401","0.0101020988076925","-0.0020247648935765","-2.04543750172569E-05"
"51","5.05728424","-0.0101004354655743","-0.00202289503067732","2.04321207109871E-05"
"52","5.14364582","-0.030299860984087","-0.00203123525716364","6.15461459180346E-05"
"53","5.22745892","-0.0504985302686691","-0.00203952682204545","0.000102993106956824"
"54","5.3113184","-0.0707024037837982","-0.0020540056284517","0.000145223135316987"
"55","5.39516078","-0.0909062922000885","-0.00204052682965994","0.000185496728219187"
"56","5.47899984","-0.111105099320412","-0.00205165706574917","0.000227949562061486"
"57","5.56281856","-0.131309181451797","-0.00205624522641301","0.000270003877544459"
"58","5.64666966","-0.151510193943977","-0.00205162703059614","0.000310842409306327"
"59","5.73050856","-0.171706557273865","-0.00206055981107056","0.000353811631215811"
"60","5.81433672","-0.191911891102791","-0.00206400244496763","0.000396106612454521"
"61","5.90067988","-0.212103605270386","-0.00206338753923774","0.000437651936142314"
"62","5.98452378","-0.232286512851715","-0.00204887869767845","0.00047592688793989"
"63","6.06837942","-0.252534925937653","-0.00206299079582095","0.000520977227832703"
"64","6.15221224","-0.272752285003662","-0.00206949259154499","0.000564458833142045"
"65","6.23603788","-0.292936682701111","-0.00205997936427593","0.000603443521403735"
"66","6.31990628","-0.313123226165771","-0.0020531015470624","0.000642873780062114"
"67","6.4037244","-0.333342760801315","-0.0020743771456182","0.000691478604663523"
"68","6.48756012","-0.353527665138245","-0.00206653797067702","0.000730578343692972"
"69","6.57143576","-0.373750030994415","-0.00208849250338972","0.00078057413787351"
"70","6.65525812","-0.393935412168503","-0.00206202222034335","0.000812303573271569"
"71","6.73909916","-0.414157181978226","-0.00204834924079478","0.000848338549274803"
"72","6.8229379","-0.434340745210648","-0.00208119954913855","0.0009039497631049"
"73","6.90676608","-0.45452618598938","-0.00209285831078887","0.000951258905819041"
"74","6.99058602","-0.474749892950058","-0.0020963039714843","0.000995220086052954"
"75","7.07442946","-0.494933366775513","-0.00208003330044448","0.00102947788439417"
"76","7.15825676","-0.515151500701904","-0.00208767596632242","0.00107546940703029"
"77","7.2420818","-0.535337090492249","-0.00207893643528223","0.00111293178258232"
"78","7.32592432","-0.555556356906891","-0.00209760386496782","0.00116533716145534"
"79","7.40977528","-0.575744211673737","-0.00211453274823725","0.00121742999019216"
"80","7.4935946","-0.595962643623352","-0.00209199450910091","0.00124675057808932"
"81","7.57747322","-0.61615115404129","-0.00209628697484732","0.0012916296387539"
"82","7.66131146","-0.636331677436829","-0.0020985878072679","0.00133539789964726"
"83","7.74513516","-0.656548857688904","-0.00213243463076651","0.00140004752092601"
"84","7.82895446","-0.676738679409027","-0.00213742069900036","0.00144647526118302"
"85","7.91278428","-0.696954369544983","-0.00210921792313457","0.00147002864785123"
"86","7.99668724","-0.717140257358551","-0.00209162407554686","0.00149998782783502"
"87","8.08053494","-0.737363755702972","-0.00211914628744125","0.00156258166539169"
"88","8.16437272","-0.757611572742462","-0.00214536162093282","0.00162535079173623"
"89","8.24823876","-0.777796626091003","-0.00213336758315563","0.00165932610839037"
"90","8.33209228","-0.797978937625885","-0.00212001078762114","0.00169172395606133"
"91","8.41592264","-0.818200886249542","-0.00212728627957404","0.00174054751925397"
"92","8.49979604","-0.838385879993439","-0.00211587781086564","0.00177392208042118"
"93","8.58363068","-0.858602344989777","-0.00212295446544886","0.00182277368234091"
"94","8.66748254","-0.878791570663452","-0.00212350534275174","0.00186611859546904"
"95","8.75129716","-0.899004697799683","-0.00213254382833838","0.00191716691993993"
"96","8.83511806","-0.919192492961884","-0.00213808915577829","0.00196531550127461"
"97","8.9189353","-0.939377427101135","-0.00212771259248257","0.00199872518073696"
"98","9.00276934","-0.959594130516052","-0.00213603326119483","0.00204972498002962"
"99","9.08659876","-0.979782938957214","-0.00212370371446013","0.0020807686668281"
"100","9.17042866","-0.999996840953827","-0.00214046309702098","0.00214045633519923"

"Min","0","-0.999996840953827","-0.00214536162093282","-0.00109715773375227"
"Max","9.17042866","0.999981939792633","0.00754088582471013","0.00754074963474841"
"Mean","4.920163049","5.38071617489422E-06","-0.00137697170904175","0.000630159580996437"
"StdDev","2.59210700432732","0.586091041786166","0.00189103040794417","0.00154390634324901"
"CV","52.6833557854176%","10892435.5557128%","-137.332553423349%","245.002439034206%"
