CSV File,Cell Code,Jsc (mA/cm^2),Voc (V),Pmax (mW/cm^2),FF (%),PCE (%)
CP182F_6 Run 972.csv,CP182F_6,0.07806023670683084,0.8258735575234502,0.03859599658212823,59.868563003928685,0.03859599658212823
CP182H_1 Run 973.csv,CP182H_1,0.08070640738461125,0.775356280941101,0.03561350322754486,56.91219970951162,0.03561350322754486
CP182F_5 Run 971.csv,CP182F_5,0.0773630642739273,0.8269771085379318,0.038887295465765546,60.78278406742118,0.038887295465765546
CP182Q_6 Run 1003.csv,CP182Q_6,0.07776245742467568,0.7908441174518072,0.023320770011702095,37.921195539082476,0.023320770011702095
CP182A_1 Run 256.csv,CP182A_1,0.03702835174047944,0.8541427868764874,0.015025948510088592,47.50912567964009,0.015025948510088592
