CSV File,Substrate Number,Cell Code,Jsc (mA/cm^2),Voc (V),Pmax (mW/cm^2),FF (%),PCE (%)
CP182F_6 Run 972.csv,CP182F,6,1.7173252075502783,0.8258735575234502,0.8491119248068211,59.868563003928685,0.8491119248068211
CP182H_1 Run 973.csv,CP182H,1,1.7755409624614475,0.775356280941101,0.783497071005987,56.91219970951161,0.783497071005987
CP182F_5 Run 971.csv,CP182F,5,1.7019874140264006,0.8269771085379318,0.855520500246842,60.78278406742118,0.855520500246842
CP182Q_6 Run 1003.csv,CP182Q,6,1.7107740633428647,0.7908441174518072,0.5130569402574461,37.921195539082476,0.5130569402574461
CP182A_1 Run 256.csv,CP182A,1,0.8146237382905477,0.8541427868764874,0.330570867221949,47.5091256796401,0.330570867221949
